node_id,asn,path_occurrences,in_degree,out_degree,name,org_id,info_traffic,info_ratio,info_scope,info_type,info_prefixes4,info_prefixes6,info_unicast,info_multicast,info_ipv6,ix_count,fac_count,policy_url,policy_general,policy_locations,policy_ratio,policy_contracts
43,702,4301574,55,26,Verizon - EMEA,1152,,Balanced,Europe,NSP,15000,10000,True,False,True,15,7,https://enterprise.verizon.com/terms/peering/,Restrictive,Required - International,True,Required
44,703,1426071,50,17,Verizon - Asia-Pac,1152,,Balanced,Asia Pacific,NSP,1000,500,True,False,True,14,6,https://enterprise.verizon.com/terms/peering/,Selective,Required - International,True,Required
45,714,6391167,370,1,Apple Inc.,8418,,Mostly Outbound,Global,Content,10000,1000,True,False,True,80,72,https://cache.edge.apple,Selective,Preferred,False,Not Required
46,715,171303,4,1,,,,,,,,,,,,,,,,,,
47,766,505671,20,4,RedIRIS/Red.es,2349,100-200Gbps,Mostly Inbound,Europe,Educational/Research,250,20,True,True,True,4,3,http://www.rediris.es/lared/RedIRIS_Peering_Policy.pdf,Open,Not Required,False,Not Required
48,786,1560020,73,5,Janet,10357,1-5Tbps,Mostly Inbound,Regional,Educational/Research,600,20,True,True,True,4,5,https://community.jisc.ac.uk/library/network-and-technology-policies/janet-peering-policy,Open,Not Required,False,Not Required
49,800,104965,12,1,OneWeb,20784,,Not Disclosed,Global,Cable/DSL/ISP,10,5,True,False,True,1,29,,Selective,Preferred,False,Required
50,801,72453,2,0,,,,,,,,,,,,,,,,,,
51,803,679748,37,3,Saskatchewan Telecommunications,1995,,Mostly Inbound,Regional,Cable/DSL/ISP,500,250,True,False,True,5,0,,Selective,Preferred,False,Not Required
52,812,8709933,29,59,Rogers Cable,423,1-5Tbps,Mostly Inbound,Regional,Cable/DSL/ISP,3000,1000,True,False,True,4,7,,Selective,Preferred,False,Required
53,819,241776,16,1,LARG*net,12769,10-20Gbps,Mostly Inbound,Regional,Non-Profit,200,10,True,False,True,1,2,,Selective,Not Required,False,Not Required
54,823,60553,2,0,,,,,,,,,,,,,,,,,,
55,834,2921531,5,0,IPXO LLC,32057,,Not Disclosed,Not Disclosed,,0,0,False,False,False,0,0,,Open,Not Required,False,Not Required
56,835,5442094,68,363,GoCodeIT AS835,25920,,Balanced,North America,,5000,5000,True,False,True,10,8,https://as835.net,Open,Not Required,False,Not Required
57,852,23829374,36,229,TELUS Communications,97,5-10Tbps,Mostly Inbound,North America,NSP,2500,250,True,False,True,7,7,,Selective,Required - US,False,Not Required
58,855,4298054,7,8,Bell Aliant Inc.,5040,,Mostly Inbound,North America,Cable/DSL/ISP,1200,60,True,False,True,2,4,,Restrictive,Not Required,True,Private Only
59,857,18298,14,0,GONET AS857,18561,,Not Disclosed,Not Disclosed,Government,500,500,True,False,False,2,0,,Restrictive,Not Required,False,Private Only
60,889,5179,2,0,Deerfield Valley Communications Union District,33580,,Not Disclosed,Not Disclosed,Cable/DSL/ISP,1,1,False,False,False,0,0,,Open,Not Required,False,Not Required
61,893,15552,5,1,Ninja-IX Foundation,32894,,Balanced,North America,,8,8,True,False,True,3,2,,Open,Not Required,False,Not Required
62,894,829,6,0,Ninja-Connect,32895,500-1000Gbps,Not Disclosed,Not Disclosed,Network Services,50000,10000,True,False,True,1,10,,Open,Not Required,False,Not Required
63,897,13288,15,0,Turtle Rock Studios,40474,5-10Gbps,Balanced,North America,,10,10,True,False,True,1,2,,Open,Not Required,False,Not Required
64,906,1078008,25,7,DMIT Cloud Infrastructure,19987,500-1000Gbps,Balanced,Global,NSP,2000,2000,True,False,True,4,6,,Open,Not Required,False,Not Required
65,912,273693,5,2,Hut 8 Mining Corp.,36309,20-50Gbps,Balanced,North America,Cable/DSL/ISP,100,100,True,False,True,0,0,,Open,Not Required,False,Not Required
66,917,10439818,179,2691,Misaka.io,18654,,Not Disclosed,Global,NSP,300,600,True,False,True,21,38,https://docs.misaka.io/network/peering,Open,Not Required,False,Not Required
67,924,4045745,27,169,Cloudie Networks,30691,5-10Gbps,Balanced,Global,Network Services,100,500,True,False,True,12,8,https://www.924.network/,Open,Not Required,False,Not Required
