src_id,dst_id,weight
0,6063,25
2,16,1111
2,35,224
2,785,55
2,1594,206
2,1765,30
2,4142,25
2,4144,4
2,9572,12
5,2957,20
15,0,2635
15,8,2653
15,11,225
15,20,1852
15,25,4549
15,27,20
15,28,15764
15,31,79125
15,32,50
15,33,3407
15,36,45
15,37,50
15,39,18824
15,44,8424
15,49,10
15,53,22
15,56,417
15,57,3456
15,58,400
15,59,4175
15,60,25
15,68,79
15,70,579
15,75,150
15,84,2811
15,86,5
15,88,302
15,90,1174
15,93,477
15,100,25
15,104,300
15,107,15
15,115,6364
15,124,515
15,126,18
15,127,20
15,135,20
15,136,15074
15,140,9300
15,141,5966
15,143,805
15,144,150
15,148,628
15,152,115
15,163,899
15,165,25
15,169,907
15,172,150
15,175,30
15,178,576
15,182,50
15,187,75
15,188,1058
15,195,5
15,198,6181
15,200,476
15,205,137
15,207,599
15,208,3287
15,209,100
15,215,16
15,223,380
15,226,9516
15,227,135
15,229,5361
15,230,95
15,233,115
15,243,365
15,250,703
15,260,20
15,263,401
15,266,480
15,276,2266
15,290,6968
15,291,4669
15,292,905
15,293,40
15,294,10
15,298,45
15,299,30
15,302,343
15,304,31978
15,308,275
15,311,635
15,319,674
15,320,788
15,322,662
15,323,3308
15,330,165
15,336,34583
15,340,25
15,344,41145
15,346,233
15,354,3521
15,360,1040
15,361,4718
15,363,50
15,365,80
15,368,1137
15,369,20
15,373,377
15,374,2135
15,375,7729
15,378,1667
15,381,125
15,385,18941
15,387,90
15,389,737
15,394,70
15,401,25
15,402,6383
15,404,73
15,408,1680
15,409,24
15,410,16
15,413,454
15,414,54328
15,416,135
15,417,1
15,418,30
15,423,1164
15,425,688
15,427,550
15,432,119919
15,437,2367
15,441,2
15,447,7547
15,452,649
15,457,12
15,468,100
15,469,55
15,471,12378
15,477,574
15,481,122350
15,491,3366
15,501,974
15,505,62461
15,506,175
15,508,30
15,510,585
15,512,50
15,513,25
15,515,95
15,518,600
15,519,41160
15,522,13012
15,524,210
15,531,939
15,536,22
15,538,1080
15,539,18665
15,542,134587
15,556,1663
15,567,25
15,568,99
15,569,30654
15,572,350
15,575,10
15,578,97
15,581,5
15,592,626
15,594,1785
15,596,33
15,604,265
15,605,507
15,614,29384
15,617,1712
15,627,204
15,628,29
15,631,195
15,637,60
15,642,418
15,649,34834
15,664,9078
15,666,7403
15,669,3511
15,673,194
15,689,1580
15,692,976
15,700,11012
15,701,3398
15,705,419
15,706,1216
15,710,5151
15,713,3648
15,726,315
15,732,1836
15,733,160
15,735,4777
15,743,30
15,744,10
15,752,670
15,756,3535
15,758,20
15,761,138
15,762,25
15,763,30
15,767,4470
15,770,5
15,772,25
15,775,530
15,783,24
15,785,30
15,792,6
15,797,365
15,802,1039
15,803,78
15,808,40
15,810,129
15,812,295
15,817,535
15,821,119
15,824,19879
15,826,125
15,828,1576
15,831,150
15,833,570
15,838,20
15,848,580
15,849,152
15,861,25
15,865,41
15,867,195
15,876,13064
15,878,501
15,882,327
15,884,25
15,887,716
15,888,64
15,889,40758
15,901,2330
15,903,105
15,907,20
15,910,30
15,911,15
15,917,108
15,919,38
15,928,32
15,934,222
15,935,784
15,938,90
15,939,55
15,942,68
15,943,400
15,945,15
15,946,15
15,953,380
15,954,80
15,959,2191
15,961,150
15,964,274
15,971,10
15,973,24
15,974,1376
15,978,163
15,988,10
15,994,25
15,995,9467
15,996,120
15,998,55
15,1013,963
15,1015,55
15,1016,490
15,1025,3907
15,1035,75
15,1037,10
15,1043,1575
15,1044,9296
15,1047,133
15,1050,50
15,1053,70
15,1059,9815
15,1060,75
15,1061,15
15,1064,35
15,1066,687
15,1069,1529
15,1070,630
15,1071,2490
15,1074,8083
15,1077,650
15,1085,187
15,1087,5
15,1092,12
15,1094,19746
15,1096,238
15,1097,10
15,1102,3374
15,1104,20
15,1105,10
15,1111,2445
15,1113,70
15,1116,5001
15,1117,169
15,1124,687
15,1127,105
15,1129,2275
15,1131,115
15,1132,1418
15,1133,2134
15,1135,30
15,1136,597
15,1137,581
15,1138,140
15,1150,50
15,1156,119
15,1158,374
15,1161,454
15,1169,50
15,1171,5
15,1174,24
15,1178,60
15,1179,1788
15,1183,40
15,1184,5279
15,1193,5147
15,1196,55
15,1207,25
15,1211,315
15,1212,1080
15,1216,296
15,1223,742
15,1229,720
15,1237,1634
15,1239,30
15,1243,25
15,1244,497
15,1247,75
15,1248,177
15,1254,257
15,1258,1191
15,1259,3223
15,1271,173
15,1272,390
15,1274,5
15,1279,140
15,1292,255
15,1295,11
15,1299,150
15,1300,493
15,1301,100
15,1302,260
15,1307,89465
15,1309,4570
15,1311,100
15,1318,12
15,1319,138
15,1327,4021
15,1334,129
15,1336,288
15,1338,4045
15,1347,45
15,1356,70
15,1358,165
15,1370,25
15,1372,1379
15,1375,12446
15,1376,25
15,1384,25
15,1391,50
15,1397,24
15,1399,140
15,1400,51
15,1401,10
15,1416,8427
15,1417,959
15,1419,1213
15,1420,200
15,1421,273
15,1425,61
15,1427,798
15,1430,985
15,1443,2932
15,1454,1288
15,1460,48
15,1464,64
15,1467,900
15,1468,1116
15,1469,292
15,1472,20
15,1478,45
15,1490,1104
15,1509,840
15,1516,12
15,1520,120
15,1525,285
15,1526,55
15,1531,100
15,1532,6025
15,1534,7739
15,1535,5030
15,1538,10115
15,1549,67
15,1550,30
15,1559,25
15,1563,690
15,1564,166
15,1569,4301
