node_id,asn,path_occurrences,in_degree,out_degree,name,org_id,info_traffic,info_ratio,info_scope,info_type,info_prefixes4,info_prefixes6,info_unicast,info_multicast,info_ipv6,ix_count,fac_count,policy_url,policy_general,policy_locations,policy_ratio,policy_contracts
44,852,36135,5,14,TELUS Communications,97,5-10Tbps,Mostly Inbound,North America,NSP,2500,250,True,False,True,7,7,,Selective,Required - US,False,Not Required
45,857,5,1,0,GONET AS857,18561,,Not Disclosed,Not Disclosed,Government,500,500,True,False,False,2,0,,Restrictive,Not Required,False,Private Only
46,889,48,1,0,Deerfield Valley Communications Union District,33580,,Not Disclosed,Not Disclosed,Cable/DSL/ISP,1,1,False,False,False,0,0,,Open,Not Required,False,Not Required
47,893,176,1,1,Ninja-IX Foundation,32894,,Balanced,North America,,8,8,True,False,True,3,2,,Open,Not Required,False,Not Required
48,894,6,1,0,Ninja-Connect,32895,500-1000Gbps,Not Disclosed,Not Disclosed,Network Services,50000,10000,True,False,True,1,10,,Open,Not Required,False,Not Required
49,897,55,3,0,Turtle Rock Studios,40474,5-10Gbps,Balanced,North America,,10,10,True,False,True,1,2,,Open,Not Required,False,Not Required
50,912,1995,4,1,Hut 8 Mining Corp.,36309,20-50Gbps,Balanced,North America,Cable/DSL/ISP,100,100,True,False,True,0,0,,Open,Not Required,False,Not Required
51,917,3688,12,10,Misaka.io,18654,,Not Disclosed,Global,NSP,300,600,True,False,True,21,38,https://docs.misaka.io/network/peering,Open,Not Required,False,Not Required
52,924,631,8,5,Cloudie Networks,30691,5-10Gbps,Balanced,Global,Network Services,100,500,True,False,True,12,8,https://www.924.network/,Open,Not Required,False,Not Required
53,932,9204,8,2,XNNET,24300,50-100Gbps,Balanced,Asia Pacific,NSP,1000,500,True,False,True,4,4,,Selective,Not Required,False,Not Required
54,955,845,1,0,LSHIY LLC,22896,100-200Gbps,Balanced,Global,NSP,10000,10000,True,False,True,3,9,https://peering.lshiy.com/,Open,Preferred,False,Private Only
55,961,25,1,0,,,,,,,,,,,,,,,,,,
56,971,4419,3,2,PureVoltage,15815,20-50Tbps,,North America,NSP,150000,10000,True,False,True,3,18,https://purevoltage.com,Open,Not Required,False,Not Required
57,979,8723,7,0,NETLAB-SDN,32728,300-500Gbps,Balanced,North America,Cable/DSL/ISP,1000,1000,False,False,False,2,0,,Open,Not Required,False,Not Required
58,983,6078,6,3,Akari Networks,23315,100-200Gbps,Balanced,Global,Cable/DSL/ISP,1000,1000,True,False,True,13,12,,Open,Not Required,False,Not Required
59,984,9552,15,4,OWS,34086,1-5Tbps,Balanced,Global,Cable/DSL/ISP,5000,500,True,False,True,5,0,,Open,Preferred,False,Not Required
60,998,296,2,0,HypeStatus,38259,,Not Disclosed,Not Disclosed,NSP,200,0,True,False,False,1,2,,Open,Not Required,False,Not Required
61,1001,154,1,0,Academy City Internet,32081,,Not Disclosed,Not Disclosed,,0,0,False,False,False,0,4,,Open,Not Required,False,Not Required
62,1002,170,2,0,Bytefilter LLC,33150,1-5Tbps,,Global,NSP,1000,500,True,True,True,3,10,https://bytefilter.com/,Open,Not Required,False,Not Required
63,1003,36,2,0,andrewnet,29001,1-5Gbps,Balanced,North America,Educational/Research,10,300,True,False,True,4,4,https://www.as1003.net/peering/,Open,Not Required,False,Not Required
64,1011,102,3,0,Accutar Canada,33926,,Not Disclosed,Not Disclosed,Enterprise,10,30,True,False,True,3,1,,Open,Not Required,False,Not Required
65,1024,66,2,0,12393239 Canada Inc,29951,,Not Disclosed,North America,,100,100,True,False,True,1,0,,Open,Not Required,False,Not Required
66,1025,110,2,0,Valor Christian High School - Edge,31600,1-5Gbps,Mostly Inbound,North America,NSP,10,5,True,False,True,1,0,,Selective,Not Required,False,Not Required
67,1029,55,1,0,Nato Internet Service (APAC),17236,,Not Disclosed,Not Disclosed,,0,0,True,False,True,0,0,,Selective,Not Required,False,Not Required
68,1031,140361,13,46,PEER-1,33149,5-10Tbps,Balanced,Global,,30000,10000,True,True,True,26,22,,Selective,Preferred,False,Not Required
69,1041,65,2,0,,,,,,,,,,,,,,,,,,
70,1097,1022,4,0,Core Transit 1097,36184,5-10Gbps,Not Disclosed,Not Disclosed,Network Services,0,0,False,False,False,1,3,,Open,Not Required,False,Not Required
71,1099,66,1,0,,,,,,,,,,,,,,,,,,
72,1103,5459,12,1,SURF,2061,500-1000Gbps,Mostly Inbound,Europe,Educational/Research,300,50,True,False,True,5,6,,Open,Preferred,False,Not Required
73,1120,50,3,1,Vienna Internet eXchange & ACOnet services,106,20-100Mbps,Balanced,Regional,Non-Profit,20,10,True,False,True,1,1,,Open,Not Required,False,Not Required
74,1149,154,2,0,,,,,,,,,,,,,,,,,,
75,1204,860,3,0,SUNY,33489,,Not Disclosed,Not Disclosed,,0,0,False,False,False,0,0,,Open,Not Required,False,Not Required
76,1215,75,1,0,,,,,,,,,,,,,,,,,,
77,1216,50,1,0,,,,,,,,,,,,,,,,,,
78,1217,120,1,0,,,,,,,,,,,,,,,,,,
79,1219,105,3,0,,,,,,,,,,,,,,,,,,
80,1221,48239,1,50,Telstra Corporation Ltd,22818,,Not Disclosed,Australia,,90000,20000,True,False,True,0,3,https://infraco.telstra.com.au/content/dam/infraco/pdf/telstra-peering-guidelines.pdf,Selective,Preferred,True,Private Only
81,1222,20,1,0,,,,,,,,,,,,,,,,,,
